CP_out_width,nor_n_width,nor_p_width,tspc_n_width,tspc_p_width,vdd,deadzone,power
7.2e-07,2.75e-07,4.4e-07,2.75e-07,4.4e-07,1.0,-1.4613e-12,0.0051987
8e-07,2.25e-07,3.6e-07,2.25e-07,3.6e-07,0.8,4.0919e-12,0.0029951
8e-07,2.25e-07,3.6e-07,2.25e-07,3.6e-07,0.9,-2.7953e-13,0.00395
8e-07,2.25e-07,3.6e-07,2.25e-07,3.6e-07,1.0,-2.0006e-12,0.0051291
8e-07,2.25e-07,3.6e-07,2.25e-07,4e-07,0.8,3.9299e-12,0.003003
8e-07,2.25e-07,3.6e-07,2.25e-07,4e-07,0.9,-3.1435e-13,0.0039598
8e-07,2.25e-07,3.6e-07,2.25e-07,4e-07,1.0,-1.9207e-12,0.0051419
8e-07,2.25e-07,3.6e-07,2.25e-07,4.4e-07,0.8,3.7951e-12,0.0030109
8e-07,2.25e-07,3.6e-07,2.25e-07,4.4e-07,0.9,-3.5351e-13,0.0039696
8e-07,2.25e-07,3.6e-07,2.25e-07,4.4e-07,1.0,-1.8539e-12,0.0051547
8e-07,2.25e-07,3.6e-07,2.5e-07,3.6e-07,0.8,4.3619e-12,0.0030049
8e-07,2.25e-07,3.6e-07,2.5e-07,3.6e-07,0.9,-2.2227e-14,0.0039641
8e-07,2.25e-07,3.6e-07,2.5e-07,3.6e-07,1.0,-1.8428e-12,0.0051478
8e-07,2.25e-07,3.6e-07,2.5e-07,4e-07,0.8,4.206e-12,0.0030129
8e-07,2.25e-07,3.6e-07,2.5e-07,4e-07,0.9,-3.2268e-14,0.003974
8e-07,2.25e-07,3.6e-07,2.5e-07,4e-07,1.0,-1.7448e-12,0.0051606
8e-07,2.25e-07,3.6e-07,2.5e-07,4.4e-07,0.8,4.0749e-12,0.0030208
8e-07,2.25e-07,3.6e-07,2.5e-07,4.4e-07,0.9,-4.7545e-14,0.0039839
8e-07,2.25e-07,3.6e-07,2.5e-07,4.4e-07,1.0,-1.6643e-12,0.0051735
8e-07,2.25e-07,3.6e-07,2.75e-07,3.6e-07,0.8,4.6071e-12,0.0030147
